63

0   V0, pass 1,  phi<0.01
  L1 L2 L3 mod2 mod br3 br gap totGap stopped nL stopV      t1      T1    phi2    Phi2      T2    Pt2    Pt3
   0  1 -1    0   0   1  1   0      0       0  2     6    0.00   31.39  0.0000  0.0100   26.46  0.000  0.000
 id V L        phi        T        V       UZ      Vms     UZms
  0 0 0   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
  1 0 1   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
  2 0 2   0.004410   0.2084   0.0380   0.0454   0.0380   0.0454
  3 0 3   0.002270   0.1276   0.0347   0.0676   0.0347   0.0676
  4 1 0   0.004440   6.6962   0.0621   0.0161   0.0621   0.0247
  5 1 1   0.005390   0.0251   0.0230   0.0113   0.0698   0.0146
  6 1 2   0.002310   0.0143   0.0170   0.0101   0.0170   0.0101
  7 1 3   0.001730   0.0179   0.0274   0.0084   0.0274   0.0084
  8 1 4   0.002030   0.0081   0.0198   0.0075   0.0198   0.0075
  9 1 5   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 10 1 6   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 11 2 0   0.002810   0.0288   0.0367   0.0163   0.0367   0.0263
 12 2 1   0.000920   0.0244   0.0132   0.0210   0.0132   0.0210
 13 2 2   0.002230   0.0645   0.0261   0.0192   0.0261   0.0192
 14 2 3   0.002360   0.0195   0.0323   0.0170   0.0323   0.0170
 15 2 4   0.000910   0.0077   0.0154   0.0069   0.0154   0.0069
 16 2 5   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 17 2 6   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 18 3 0   0.003340   0.3238   0.0999   0.2786   0.0999   0.2786
 19 3 1   0.003300   0.2975   0.0757   0.1999   0.0757   0.1999
 20 3 2   0.002920   0.3087   0.1473   0.2940   0.1473   0.2940
 21 3 3   0.002210   0.2331   0.1339   0.2370   0.1339   0.2370
 22 4 0   0.004650   0.3098   0.1210   0.1332   0.1148   0.1481
 23 4 1   0.008220   0.1945   0.2074   0.1927   0.2074   0.1627
 24 4 2   0.008560   0.2134   0.1574   0.2159   0.2030   0.2159
 25 4 3   0.001630   0.2489   0.0848   0.2477   0.0848   0.2477
 26 4 4   0.002470   4.4035   0.0821   0.2820   0.0821   0.2820
 27 4 5   0.001710   0.2402   0.1020   0.2385   0.1020   0.2385
 28 5 0   0.006820   0.1630   0.1803   0.1664   0.1592   0.1664
 29 5 1   0.007920   0.4217   0.1972   0.2159   0.2446   0.2159
 30 5 2   0.008110   0.2342   0.1240   0.2344   0.1827   0.2344
 31 5 3   0.001610   0.2749   0.0920   0.2725   0.0920   0.2725
 32 5 4   0.002450   0.2654   0.0975   0.2653   0.0975   0.2653
 33 5 5   0.002460   0.2533   0.1117   0.2508   0.1117   0.2508
 34 6 0   0.003470   0.7010   0.1264   0.6848   0.1264   0.6848
 35 6 1   0.003480   1.7673   0.1461   1.7606   0.2499   1.7106
 36 7 0   0.003690   1.4322   0.1947   1.4235   0.1947   1.4235
 37 7 1   0.004110   1.5616   0.4051   1.5716   0.4051   1.5716
 38 7 2   0.007640   1.4114   0.3480   1.3964   0.3480   1.3964
 39 7 3   0.004610   1.5840   0.3084   1.5837   0.2784   1.5837
 40 7 4   0.005970   1.4080   0.3049   1.4019   0.3049   1.4019
 41 7 5   0.006320   1.4390   0.3123   1.4207   0.5816   1.4207
 42 8 0   0.003850   1.2003   0.1711   1.1948   0.1913   1.1948
 43 8 1   0.005700   1.6309   0.3394   1.6330   0.3394   1.6330
 44 8 2   0.003090   1.4616   0.3553   1.4343   0.3553   1.4343
 45 8 3   0.005900   1.6118   0.3555   1.6370   0.3555   1.6370
 46 8 4   0.006480   1.5449   0.3041   1.5302   0.6253   1.5302
 47 8 5   0.005210   1.4196   0.5587   1.4236   0.5587   1.4236
 id V L        phi        T        V       UZ      Vms     UZms
  0 0 0   0.001440   1.7725   0.0034   0.0141   0.0034   0.0141
  1 0 1   0.000970   0.5836   0.0025   0.0168   0.0025   0.0168
  2 0 2   0.000790   0.3688   0.0036   0.0157   0.0036   0.0157
  3 0 3   0.000720   0.2343   0.0075   0.0092   0.0075   0.0092
  4 1 0   0.000620   0.0497   0.0046   0.0016   0.0046   0.0016
  5 1 1   0.000540   0.0226   0.0045   0.0012   0.0045   0.0012
  6 1 2   0.000440   0.0142   0.0045   0.0016   0.0045   0.0016
  7 1 3   0.000380   0.0064   0.0048   0.0023   0.0048   0.0023
  8 1 4   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
  9 1 5   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 10 1 6   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 11 2 0   0.000620   0.0334   0.0045   0.0017   0.0045   0.0017
 12 2 1   0.000510   0.0229   0.0044   0.0012   0.0044   0.0012
 13 2 2   0.000450   0.0144   0.0044   0.0014   0.0044   0.0014
 14 2 3   0.000420   0.0117   0.0043   0.0017   0.0043   0.0017
 15 2 4   0.000370   0.0055   0.0039   0.0016   0.0039   0.0016
 16 2 5   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 17 2 6   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 18 3 0   0.002760   0.5035   0.0076   0.1070   0.0076   0.1070
 19 3 1   0.002220   0.3588   0.0077   0.1200   0.0077   0.1200
 20 3 2   0.002220   0.3255   0.0153   0.1098   0.0153   0.1098
 21 3 3   0.002040   0.2727   0.0361   0.2015   0.0361   0.2015
 22 4 0   0.000800   0.0993   0.0127   0.0944   0.0127   0.0944
 23 4 1   0.000620   0.0931   0.0120   0.0940   0.0120   0.0940
 24 4 2   0.000480   0.0952   0.0126   0.0942   0.0126   0.0942
 25 4 3   0.000400   0.0946   0.0127   0.0959   0.0127   0.0959
 26 4 4   0.000350   0.0809   0.0105   0.0804   0.0105   0.0804
 27 4 5   0.000220   0.0999   0.0101   0.0975   0.0101   0.0975
 28 5 0   0.000650   0.1085   0.0123   0.1020   0.0123   0.1020
 29 5 1   0.000630   0.1011   0.0122   0.0964   0.0122   0.0964
 30 5 2   0.000480   0.1000   0.0123   0.0958   0.0123   0.0958
 31 5 3   0.000340   0.1162   0.0118   0.1104   0.0118   0.1104
 32 5 4   0.000310   0.0984   0.0116   0.0962   0.0116   0.0962
 33 5 5   0.000072   0.0884   0.0095   0.0908   0.0095   0.0908
 34 6 0   0.002150   1.0323   0.0172   0.9788   0.0172   0.9788
 35 6 1   0.002220   1.0459   0.0805   1.0457   0.0805   1.0457
 36 7 0   0.002100   0.9018   0.1553   0.9377   0.1553   0.9377
 37 7 1   0.001860   0.9325   0.1441   0.9245   0.1441   0.9245
 38 7 2   0.001650   0.9326   0.1801   0.9100   0.1521   0.9100
 39 7 3   0.001270   0.9723   0.1660   0.9615   0.1660   0.9615
 40 7 4   0.000910   0.9374   0.1369   0.9355   0.1369   0.9355
 41 7 5   0.000780   0.9994   0.1165   0.9921   0.1165   0.9921
 42 8 0   0.002110   0.8223   0.1744   0.8260   0.1744   0.8260
 43 8 1   0.001760   0.9264   0.1143   0.8886   0.1204   0.8886
 44 8 2   0.001340   0.9157   0.1693   0.9071   0.1693   0.9071
 45 8 3   0.000980   0.9121   0.1350   0.9086   0.1350   0.9086
 46 8 4   0.000820   0.9471   0.1028   0.9416   0.1028   0.9416
 47 8 5   0.000770   0.9161   0.0930   0.9122   0.0930   0.9122

1  prim V0,  phi<0.02, pass 1
  L1 L2 L3 mod2 mod br3 br gap totGap stopped nL stopV      t1      T1    phi2    Phi2      T2    Pt2    Pt3
   0  1 -1    0   0   1  1   0      0       0  2     6    0.00   31.80  0.0100  0.0200   27.20  0.000  0.000
 id V L        phi        T        V       UZ      Vms     UZms
  0 0 0   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
  1 0 1   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
  2 0 2   0.003870   0.2363   0.0442   0.0851   0.0442   0.0851
  3 0 3   0.005370   0.1840   0.0859   0.1152   0.0859   0.1152
  4 1 0   0.003750   1.9681   0.0673   0.0298   0.0673   0.0466
  5 1 1   0.001770   0.0369   0.0258   0.0247   0.0258   0.0247
  6 1 2   0.002250   0.0209   0.0345   0.0214   0.0345   0.0214
  7 1 3   0.002510   0.0214   0.0375   0.0197   0.0375   0.0197
  8 1 4   0.001600   0.0174   0.0261   0.0175   0.0261   0.0175
  9 1 5   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 10 1 6   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 11 2 0   0.005910   1.3023   0.0755   0.0358   0.0853   0.0376
 12 2 1   0.001630   0.0362   0.0238   0.0297   0.0238   0.0297
 13 2 2   0.001870   0.0202   0.0266   0.0210   0.0266   0.0210
 14 2 3   0.000100   0.0001   0.0000   0.0000   0.0000   0.0000
 15 2 4   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 16 2 5   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 17 2 6   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 18 3 0   0.010010   0.4166   0.2376   0.4389   0.2392   0.4389
 19 3 1   0.005650   0.3310   0.2032   0.2821   0.2032   0.2821
 20 3 2   0.007130   0.3632   0.3008   0.3625   0.3008   0.3625
 21 3 3   0.006350   0.3108   0.3178   0.3310   0.3178   0.3310
 22 4 0   0.010110   2.1696   0.3174   0.1981   0.3464   0.2312
 23 4 1   0.012390   0.2247   0.2473   0.2329   0.3222   0.2329
 24 4 2   0.011670   0.2925   0.2400   0.2833   0.2498   0.2833
 25 4 3   0.003310   0.2606   0.1872   0.2634   0.1872   0.2634
 26 4 4   0.003030   0.4160   0.1727   0.4298   0.1727   0.4298
 27 4 5   0.004210   0.3252   0.2056   0.3579   0.2056   0.3579
 28 5 0   0.009130   0.2339   0.2875   0.2055   0.3002   0.1815
 29 5 1   0.013040   0.2598   0.2961   0.2487   0.3318   0.2487
 30 5 2   0.003030   0.2681   0.1551   0.2833   0.1551   0.2833
 31 5 3   0.003550   0.3146   0.1629   0.3149   0.1629   0.3149
 32 5 4   0.003720   0.3552   0.1715   0.3708   0.1715   0.3708
 33 5 5   0.003540   0.3550   0.2079   0.3632   0.2079   0.3632
 34 6 0   0.005480   0.7735   0.2522   0.7385   0.2522   0.7385
 35 6 1   0.006690   1.8166   0.3209   1.8333   0.4837   1.8333
 36 7 0   0.007580   1.3298   0.4032   1.2042   0.4032   1.2042
 37 7 1   0.009250   1.8812   0.6404   1.8166   0.6404   1.8166
 38 7 2   0.006570   1.3513   0.5147   1.3256   0.5147   1.3016
 39 7 3   0.009290   1.6107   0.5705   1.6138   0.5705   1.6138
 40 7 4   0.010950   1.7536   0.5599   1.7400   0.6663   1.7400
 41 7 5   0.010970   1.4875   0.7111   1.5315   0.7111   1.5385
 42 8 0   0.007360   1.6874   0.4173   1.2660   0.4323   1.2660
 43 8 1   0.012320   1.4577   0.6309   1.4316   0.6079   1.4286
 44 8 2   0.008130   1.1982   0.6322   1.2121   0.6322   1.2401
 45 8 3   0.013420   1.3109   0.6008   1.3413   0.6008   1.2613
 46 8 4   0.012690   1.4303   0.5352   1.5124   0.6187   1.5124
 47 8 5   0.011260   1.3954   1.0879   1.4016   1.0879   1.4016
