particle_id,particle_type,vx,vy,vz,px,py,pz,q,nhits
4503668346847232,13,-0.00356454,-0.0039304,-172.402,-44.0572,23.3234,195.812,-1,11
4503874505277440,321,-0.00356454,-0.0039304,-172.402,0.546831,-1.07581,-21.2791,1,10
4504080663707648,211,-0.00356454,-0.0039304,-172.402,-0.447408,0.0666432,0.784101,1,14
4504149383184384,-211,-0.00356454,-0.0039304,-172.402,2.27153,-3.17204,11.5383,-1,12
4504218102661120,211,-0.00356454,-0.0039304,-172.402,2.88617,-0.892233,-0.142448,1,14
4504286822137856,-321,-0.00356454,-0.0039304,-172.402,0.177508,0.0276675,0.611675,-1,9
4504355541614592,2212,-0.00356454,-0.0039304,-172.402,1.31212,0.0272997,1.76505,1,13
4504492980568064,321,-0.00356454,-0.0039304,-172.402,-0.802672,3.62712,11.7893,1,15
4504836577951744,211,-0.00356454,-0.0039304,-172.402,-0.482698,0.496849,15.9972,1,0
4504905297428480,-211,-0.00356454,-0.0039304,-172.402,-0.148648,-0.102151,3.20531,-1,11
4504974016905216,211,-0.00356454,-0.0039304,-172.402,-0.0254251,0.475512,1.96,1,12
4505111455858688,-2212,-0.00356454,-0.0039304,-172.402,0.447114,2.89537,29.5377,-1,0
4505180175335424,211,-0.00356454,-0.0039304,-172.402,1.6564,1.9886,12.6972,1,10
4505248894812160,211,-0.00356454,-0.0039304,-172.402,0.109655,0.205636,0.755356,1,13
4505317614288896,211,-0.00356454,-0.0039304,-172.402,0.246547,0.0305982,0.215322,1,11
4505386333765632,211,-0.00356454,-0.0039304,-172.402,1.91898,0.866501,1.06213,1,11
4505455053242368,-211,-0.00356454,-0.0039304,-172.402,0.125843,-0.32774,0.0262593,-1,13
4505523772719104,211,-0.00356454,-0.0039304,-172.402,0.268251,0.430913,0.681018,1,12
4505592492195840,-211,-0.00356454,-0.0039304,-172.402,1.19301,0.241558,0.439828,-1,12
4505661211672576,211,-0.00356454,-0.0039304,-172.402,1.7555,0.370698,0.692452,1,12
4505798650626048,211,-0.00356454,-0.0039304,-172.402,0.137731,0.279886,-1.01116,1,11
4505867370102784,211,-0.00356454,-0.0039304,-172.402,-0.037296,0.522054,-1.21042,1,13
4505936089579520,211,-0.00356454,-0.0039304,-172.402,-0.206459,1.35512,-11.2091,1,14
4506073528532992,-211,-0.00356454,-0.0039304,-172.402,-0.131779,-0.100942,-4.08183,-1,10
4506142248009728,-211,-0.00356454,-0.0039304,-172.402,-0.312341,-0.282185,-0.075155,-1,14
4506279686963200,211,-0.00356454,-0.0039304,-172.402,0.0270139,0.154292,-0.0212899,1,4
4506348406439936,-2212,-0.00356454,-0.0039304,-172.402,0.273584,-0.394431,0.0224214,-1,11
4506417125916672,-211,-0.00356454,-0.0039304,-172.402,1.00008,-1.41957,0.426963,-1,12
4506485845393408,211,-0.00356454,-0.0039304,-172.402,1.63422,-0.216065,0.368511,1,11
4506554564870144,-211,-0.00356454,-0.0039304,-172.402,1.32629,-1.66115,1.50663,-1,10
4506623284346880,211,-0.00356454,-0.0039304,-172.402,1.54672,-0.518059,1.34191,1,11
